year,month,yrmo,vol_g,vol_Mg
1992,January,Jan 1992,545277814,545.277814
1992,February,Feb 1992,560563786,560.563786
1992,March,Mar 1992,583463200,583.4632
1992,April,Apr 1992,579048578,579.048578
1992,May,May 1992,823749625,823.749625
1992,June,Jun 1992,757189168,757.189168
1992,July,Jul 1992,831113500,831.1135
1992,August,Aug 1992,1028645100,1028.6451
1992,September,Sep 1992,700631500,700.6315
1992,October,Oct 1992,618468500,618.4685
1992,November,Nov 1992,552917900,552.9179
1992,December,Dec 1992,565974400,565.9744
1993,January,Jan 1993,563705050,563.70505
1993,February,Feb 1993,541626150,541.62615
1993,March,Mar 1993,573119900,573.1199
1993,April,Apr 1993,565787367,565.787367
1993,May,May 1993,743339200,743.3392
1993,June,Jun 1993,682919612,682.919612
1993,July,Jul 1993,739194147,739.194147
1993,August,Aug 1993,874855614,874.855614
1993,September,Sep 1993,733615786,733.615786
1993,October,Oct 1993,586442900,586.4429
1993,November,Nov 1993,528893733,528.893733
1993,December,Dec 1993,534890635,534.890635
1994,January,Jan 1994,581589280,581.58928
1994,February,Feb 1994,547557967,547.557967
1994,March,Mar 1994,612323008,612.323008
1994,April,Apr 1994,625071000,625.071
1994,May,May 1994,733951114,733.951114
1994,June,Jun 1994,727509839,727.509839
1994,July,Jul 1994,1121089500,1121.0895
1994,August,Aug 1994,1066329400,1066.3294
1994,September,Sep 1994,781545250,781.54525
1994,October,Oct 1994,594097750,594.09775
1994,November,Nov 1994,515361320,515.36132
1994,December,Dec 1994,536227100,536.2271
1995,January,Jan 1995,525364500,525.3645
1995,February,Feb 1995,532847700,532.8477
1995,March,Mar 1995,539130350,539.13035
1995,April,Apr 1995,533601800,533.6018
1995,May,May 1995,762632900,762.6329
1995,June,Jun 1995,761376150,761.37615
1995,July,Jul 1995,850136143,850.136143
1995,August,Aug 1995,850882737,850.882737
1995,September,Sep 1995,601940068,601.940068
1995,October,Oct 1995,543979633,543.979633
1995,November,Nov 1995,522052367,522.052367
1995,December,Dec 1995,536227640,536.22764
1996,January,Jan 1996,519750837,519.750837
1996,February,Feb 1996,544418063,544.418063
1996,March,Mar 1996,568187787,568.187787
1996,April,Apr 1996,547762083,547.762083
1996,May,May 1996,646233417,646.233417
1996,June,Jun 1996,857345250,857.34525
1996,July,Jul 1996,1142830400,1142.8304
1996,August,Aug 1996,929293450,929.29345
1996,September,Sep 1996,670886067,670.886067
1996,October,Oct 1996,600457583,600.457583
1996,November,Nov 1996,509955363,509.955363
1996,December,Dec 1996,541160138,541.160138
1997,January,Jan 1997,563244512,563.244512
1997,February,Feb 1997,515794530,515.79453
1997,March,Mar 1997,581175910,581.17591
1997,April,Apr 1997,573693986,573.693986
1997,May,May 1997,733638483,733.638483
1997,June,Jun 1997,659581535,659.581535
1997,July,Jul 1997,857615546,857.615546
1997,August,Aug 1997,868249300,868.2493
1997,September,Sep 1997,669337702,669.337702
1997,October,Oct 1997,541884372,541.884372
1997,November,Nov 1997,483828652,483.828652
1997,December,Dec 1997,496490422,496.490422
1998,January,Jan 1998,479282507,479.282507
1998,February,Feb 1998,430138224,430.138224
1998,March,Mar 1998,490067289,490.067289
1998,April,Apr 1998,522271327,522.271327
1998,May,May 1998,694844890,694.84489
1998,June,Jun 1998,544751271,544.751271
1998,July,Jul 1998,874725818,874.725818
1998,August,Aug 1998,1041860398,1041.860398
1998,September,Sep 1998,744123164,744.123164
1998,October,Oct 1998,594307784,594.307784
1998,November,Nov 1998,508883271,508.883271
1998,December,Dec 1998,518674600,518.6746
1999,January,Jan 1999,515828631,515.828631
1999,February,Feb 1999,464773369,464.773369
1999,March,Mar 1999,524368633,524.368633
1999,April,Apr 1999,587848428,587.848428
1999,May,May 1999,802133314,802.133314
1999,June,Jun 1999,735209946,735.209946
1999,July,Jul 1999,1041472627,1041.472627
1999,August,Aug 1999,937293093,937.293093
1999,September,Sep 1999,744719928,744.719928
1999,October,Oct 1999,544027734,544.027734
1999,November,Nov 1999,487052085,487.052085
1999,December,Dec 1999,508144759,508.144759
2000,January,Jan 2000,514040416,514.040416
2000,February,Feb 2000,489533603,489.533603
2000,March,Mar 2000,518977563,518.977563
2000,April,Apr 2000,589935975,589.935975
2000,May,May 2000,764161136,764.161136
2000,June,Jun 2000,915109714,915.109714
2000,July,Jul 2000,1243073894,1243.073894
2000,August,Aug 2000,1170635179,1170.635179
2000,September,Sep 2000,646270995,646.270995
2000,October,Oct 2000,558880282,558.880282
2000,November,Nov 2000,508722932,508.722932
2000,December,Dec 2000,539641908,539.641908
2001,January,Jan 2001,544810663,544.810663
2001,February,Feb 2001,490829008,490.829008
2001,March,Mar 2001,549916391,549.916391
2001,April,Apr 2001,561858905,561.858905
2001,May,May 2001,871156469,871.156469
