gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
67037	3/27/1986	25.9	22.21	3123.19				UM	UNKNOWN			
67037	5/5/1986	25.05	21.36	3124.04				UM	UNKNOWN			
67037	6/19/1986	23.06	19.37	3126.03				UM	UNKNOWN			
67037	7/27/1986	25.72	22.03	3123.37				UM	UNKNOWN			
67037	8/14/1986	26.3	22.61	3122.79				UM	UNKNOWN			
67037	10/1/1986	27.31	23.62	3121.78				UM	UNKNOWN			
67037	10/22/1986	26.54	22.85	3122.55				UM	UNKNOWN			
67037	12/14/1986	27.22	23.53	3121.87				UM	UNKNOWN			
67037	1/27/1987	27.59	23.9	3121.5				UM	UNKNOWN			
67037	2/10/1987	27.63	23.94	3121.46				UM	UNKNOWN			
67037	3/20/1987	27.58	23.89	3121.51				UM	UNKNOWN			
67037	4/25/1987	26.22	22.53	3122.87				UM	UNKNOWN			
67037	6/1/1987	24.51	20.82	3124.58				UM	UNKNOWN			
67037	7/20/1987	26.03	22.34	3123.06				UM	UNKNOWN			
67037	7/1/1995	23.77	20.08	3125.32				MCWQD	SOUNDER			
67037	7/6/1995	23.77	20.08	3125.32				MCWQD	SOUNDER			
67037	11/3/1995 2:35:00 PM	26.72	23.03	3122.37				MCWQD	SOUNDER			
67037	2/14/1996 2:30:00 PM	24.92	21.23	3124.17				MCWQD	SOUNDER			
67037	5/26/1996	23.4	19.71	3125.69				MCWQD	SOUNDER			
67037	5/31/1996 11:00:00 AM	21.53	17.84	3127.56				MCWQD	SOUNDER			
67037	8/13/1996 8:15:00 AM	26.32	22.63	3122.77				MCWQD	SOUNDER			
67037	11/13/1996 10:30:00 AM	26.91	23.22	3122.18				MCWQD	SOUNDER			
67037	3/12/1997 3:00:00 PM	26.75	23.06	3122.34				MCWQD	SOUNDER			
67037	5/19/1997 4:15:00 PM	18.89	15.2	3130.2				MCWQD	SOUNDER			
67037	11/14/1997 11:50:00 AM	26.43	22.74	3122.66				MCWQD	SOUNDER			
67037	3/4/1998	23.17	19.48	3125.92				MCWQD	SOUNDER			
67037	8/13/1998 2:30:00 PM	25.92	22.23	3123.17				MCWQD	SOUNDER			
67037	11/2/1998 3:00:00 PM	26.84	23.15	3122.25				MCWQD	SOUNDER			
67037	3/8/1999 3:20:00 PM	27.05	23.36	3122.04				MCWQD	SOUNDER			
67037	6/28/1999	22.28	18.59	3126.81				MBMG	SOUNDER			
67037	9/13/1999	26.62	22.93	3122.47				MCWQD	SOUNDER	 		
67037	11/3/1999	26.9	23.21	3122.19				MCWQD	SOUNDER	 		
67037	3/6/2000	27.32	23.63	3121.77				MCWQD	SOUNDER			
67037	6/19/2000	23.59	19.9	3125.5				MCWQD	SOUNDER			
67037	8/11/2000	27.3	23.61	3121.79				MCWQD	SOUNDER			
67037	8/16/2000 12:35:00 PM	27.5	23.81	3121.59				MBMG	SOUNDER			
67037	11/28/2000	27.2	23.51	3121.89				MCWQD	SOUNDER			
67037	3/27/2001	27.3	23.61	3121.79				MCWQD	SOUNDER			
67037	6/21/2001 1:10:00 PM	24.99	21.3	3124.1				MCWQD	SOUNDER	 		
67037	8/29/2001	27.35	23.66	3121.74				MCWQD	SOUNDER	 		
67037	3/18/2002	27.6	23.91	3121.49				MCWQD	SOUNDER	 		
67037	6/5/2002	22.12	18.43	3126.97				MCWQD	SOUNDER	 		
67037	10/10/2002	26.73	23.04	3122.36				MCWQD	SOUNDER			
67037	4/15/2003	25.05	21.36	3124.04				MCWQD	SOUNDER			
67037	7/10/2003	25.42	21.73	3123.67				MCWQD	SOUNDER			
67037	9/29/2003	27.12	23.43	3121.97				MCWQD	SOUNDER			
67037	3/30/2004	26.71	23.02	3122.38				MCWQD	SOUNDER			
67037	8/11/2004	27.1	23.41	3121.99				MCWQD	SOUNDER	 		
67037	12/3/2004	26.95	23.26	3122.14				MCWQD	SOUNDER	 		
67037	5/11/2005	24.96	21.27	3124.13				MCWQD	SOUNDER	 		
67037	8/19/2005	27.21	23.52	3121.88				MCWQD	SOUNDER			
67037	11/17/2005	27.07	23.38	3122.02				MCWQD	SOUNDER			
67037	3/23/2006	27.49	23.8	3121.6				MCWQD	SOUNDER			
67037	5/25/2006	21.65	17.96	3127.44				MCWQD	SOUNDER			
67037	7/19/2006	26.33	22.64	3122.76				MCWQD	SOUNDER			
67037	11/27/2006	26.57	22.88	3122.52				MCWQD	SOUNDER			
67037	4/6/2007	26.72	23.03	3122.37				MCWQD	SOUNDER			
67037	6/12/2007	23.7	20.01	3125.39				MCWQD	SOUNDER			
67037	7/6/2007	26.1	22.41	3122.99				MCWQD	SOUNDER			
67037	9/28/2007	28.3	24.61	3120.79				MCWQD	SOUNDER			
67037	3/11/2008	27.9	24.21	3121.19				MCWQD	SOUNDER			
67037	6/13/2008	23.03	19.34	3126.06				MCWQD	SOUNDER			
67037	6/26/2008	21.74	18.05	3127.35				MCWQD	SOUNDER			
67037	9/25/2008	26.7	23.01	3122.39				MCWQD	SOUNDER			
67037	11/17/2008	25.78	22.09	3123.31				MCWQD	SOUNDER			
67037	4/6/2009	27.01	23.32	3122.08				MCWQD	SOUNDER			
67037	6/3/2009	21.2	17.51	3127.89				MCWQD	SOUNDER			
67037	6/30/2009	23.46	19.77	3125.63				MCWQD	SOUNDER			
67037	10/23/2009	27.1	23.41	3121.99				MCWQD	SOUNDER			
67037	3/26/2010	27.55	23.86	3121.54				MCWQD	SOUNDER			
67037	6/25/2010	23.53	19.84	3125.56				MCWQD	SOUNDER			
67037	7/27/2010	26.48	22.79	3122.61				MCWQD	SOUNDER			
67037	10/13/2010	26.82	23.13	3122.27				MCWQD	SOUNDER			
67037	3/23/2011	27.36	23.67	3121.73				MCWQD	SOUNDER			
67037	6/14/2011	20.35	16.66	3128.74				MCWQD	SOUNDER			
67037	6/30/2011	20.14	16.45	3128.95				MCWQD	SOUNDER			
67037	11/9/2011	26.36	22.67	3122.73				MCWQD	SOUNDER			
67037	4/16/2012	25.37	21.68	3123.72				MCWQD	SOUNDER			
