gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
157208	5/31/1996	57.72	57.72	3146.38		MCWQD	SOUNDER			
157208	8/12/1996	62.49	62.49	3141.61		MCWQD	SOUNDER			
157208	9/6/1996 1:14:00 PM	64.19	64.19	3139.91		MBMG	SOUNDER			
157208	11/20/1996 9:00:00 AM	66.93	66.93	3137.17		MCWQD	SOUNDER	INITIAL GWAA MEASUREMENT		
157208	3/17/1997 9:00:00 AM	67.22	67.22	3136.88		MCWQD	SOUNDER			
157208	3/27/1997 3:00:00 PM	67.07	67.07	3137.03		MBMG	SOUNDER			
157208	5/22/1997 11:15:00 AM	56.5	56.5	3147.6		MCWQD	SOUNDER			
157208	8/21/1997	60.66	60.66	3143.44		MCWQD	SOUNDER			
157208	11/19/1997 3:30:00 PM	64.85	64.85	3139.25		MCWQD	SOUNDER			
157208	3/11/1998	67.74	67.74	3136.36		MCWQD	SOUNDER			
157208	6/1/1998	60.92	60.92	3143.18		MCWQD	SOUNDER			
157208	8/20/1998 12:00:00 PM	59.78	59.78	3144.32		MCWQD	SOUNDER			
157208	11/6/1998	65.15	65.15	3138.95		MCWQD	SOUNDER			
157208	2/17/1999 9:30:00 AM	67.5	67.5	3136.6		MCWQD	SOUNDER			
157208	6/21/1999 11:40:00 AM	59.45	59.45	3144.65		MBMG	SOUNDER			
157208	9/14/1999	64.15	64.15	3139.95		MCWQD	SOUNDER	 		
157208	11/4/1999	65.55	65.55	3138.55		MCWQD	SOUNDER	 		
157208	3/6/2000	68.84	68.84	3135.26		MCWQD	SOUNDER			
157208	6/21/2000	63.1	63.1	3141		MCWQD	SOUNDER			
157208	8/11/2000	67.18	67.18	3136.92		MCWQD	SOUNDER			
157208	8/16/2000 1:20:00 PM	66.6	66.6	3137.5		MBMG	SOUNDER			
157208	11/29/2000	67	67	3137.1		MCWQD	SOUNDER			
157208	4/3/2001	69	69	3135.1		MCWQD	SOUNDER			
157208	6/21/2001 10:15:00 AM	62.37	62.37	3141.73		MCWQD	SOUNDER	 		
157208	8/29/2001	65.64	65.64	3138.46		MCWQD	SOUNDER	 		
157208	11/2/2001	66.79	66.79	3137.31		MCWQD	SOUNDER	 		
157208	3/26/2002	70	70	3134.1		MCWQD	SOUNDER	 		
157208	6/11/2002	62.29	62.29	3141.81		MCWQD	SOUNDER	 		
157208	10/9/2002	66.17	66.17	3137.93		MCWQD	SOUNDER			
157208	4/15/2003	68.89	68.89	3135.21		MCWQD	SOUNDER			
157208	7/8/2003	62.35	62.35	3141.75		MCWQD	SOUNDER			
157208	10/1/2003	66.02	66.02	3138.08		MCWQD	SOUNDER			
157208	3/30/2004	69.04	69.04	3135.06		MCWQD	SOUNDER			
157208	7/22/2004	64.16	64.16	3139.94		MCWQD	SOUNDER	 		
157208	12/3/2004	66.52	66.52	3137.58		MCWQD	SOUNDER	 		
157208	5/17/2005	64.1	64.1	3140		MCWQD	SOUNDER	 		
157208	8/17/2005	65.53	65.53	3138.57		MCWQD	SOUNDER			
157208	11/17/2005	66.99	66.99	3137.11		MCWQD	SOUNDER			
157208	3/22/2006	68.65	68.65	3135.45		MCWQD	SOUNDER			
157208	5/26/2006	60.61	60.61	3143.49		MCWQD	SOUNDER			
157208	7/13/2006	62.15	62.15	3141.95		MCWQD	SOUNDER			
157208	11/21/2006	67.7	67.7	3136.4		MCWQD	SOUNDER			
157208	4/5/2007	69.35	69.35	3134.75		MCWQD	SOUNDER			
157208	6/12/2007	61.95	61.95	3142.15		MCWQD	SOUNDER			
157208	7/3/2007	63.27	63.27	3140.83		MCWQD	SOUNDER			
157208	9/28/2007	68.61	68.61	3135.49		MCWQD	SOUNDER			
157208	4/2/2008	72.05	72.05	3132.05		MCWQD	SOUNDER			
157208	6/13/2008	61.34	61.34	3142.76		MCWQD	SOUNDER			
157208	6/26/2008	60	60	3144.1		MCWQD	SOUNDER			
157208	9/26/2008	64.9	64.9	3139.2		MCWQD	SOUNDER			
157208	11/14/2008	67.75	67.75	3136.35		MCWQD	SOUNDER			
157208	4/8/2009	69.22	69.22	3134.88		MCWQD	SOUNDER			
157208	6/2/2009	60.2	60.2	3143.9		MCWQD	SOUNDER			
157208	6/30/2009	59.58	59.58	3144.52		MCWQD	SOUNDER			
157208	10/23/2009	66.6	66.6	3137.5		MCWQD	SOUNDER			
157208	3/25/2010	70.25	70.25	3133.85		MCWQD	SOUNDER			
157208	6/25/2010	61.83	61.83	3142.27		MCWQD	SOUNDER			
157208	7/27/2010	63.69	63.69	3140.41		MCWQD	SOUNDER			
157208	10/15/2010	66.49	66.49	3137.61		MCWQD	SOUNDER			
157208	3/28/2011	70.54	70.54	3133.56		MCWQD	SOUNDER			
157208	6/14/2011	54.49	54.49	3149.61		MCWQD	SOUNDER			
157208	6/30/2011	54.12	54.12	3149.98		MCWQD	SOUNDER			
157208	11/9/2011	63.6	63.6	3140.5		MCWQD	SOUNDER			
157208	4/16/2012	64.82	64.82	3139.28		MCWQD	SOUNDER			
157208	5/31/2012	58.31	58.31	3145.79		MCWQD	SOUNDER			
157208	7/2/2012	58.25	58.25	3145.85		MCWQD	SOUNDER			
157208	10/30/2012	65.1	65.1	3139		MCWQD	SOUNDER			
157208	3/25/2013	68.29	68.29	3135.81		MCWQD	SOUNDER			
