time,Q
1995-01-31,1000.0
1995-02-28,1865.0
1995-03-31,1810.0
1995-04-30,2305.0
1995-05-31,6460.0
1995-06-30,8235.0
1995-07-31,3910.0
1995-08-31,1530.0
1995-09-30,1535.0
1995-10-31,1610.0
1995-11-30,1735.0
1995-12-31,2630.0
1996-01-31,1900.0
1996-02-29,3250.0
1996-03-31,2410.0
1996-04-30,8360.0
1996-05-31,12600.0
1996-06-30,13400.0
1996-07-31,3530.0
1996-08-31,1630.0
1996-09-30,1505.0
1996-10-31,1570.0
1996-11-30,1555.0
1996-12-31,1460.0
1997-01-31,1990.0
1997-02-28,1635.0
1997-03-31,1840.0
1997-04-30,4020.0
1997-05-31,16800.0
1997-06-30,16000.0
1997-07-31,4580.0
1997-08-31,2370.0
1997-09-30,1910.0
1997-10-31,2040.0
1997-11-30,1895.0
1997-12-31,1680.0
1998-01-31,1580.0
1998-02-28,1430.0
1998-03-31,1760.0
1998-04-30,2845.0
1998-05-31,7100.0
1998-06-30,6875.0
1998-07-31,4750.0
1998-08-31,1610.0
1998-09-30,1415.0
1998-10-31,1600.0
1998-11-30,1670.0
1998-12-31,1530.0
1999-01-31,1570.0
1999-02-28,1345.0
1999-03-31,1940.0
1999-04-30,2705.0
1999-05-31,5340.0
1999-06-30,9405.0
1999-07-31,3020.0
1999-08-31,1610.0
1999-09-30,1325.0
1999-10-31,1410.0
1999-11-30,1455.0
1999-12-31,1390.0
2000-01-31,1260.0
2000-02-29,1340.0
2000-03-31,1510.0
2000-04-30,4295.0
2000-05-31,5010.0
2000-06-30,3920.0
2000-07-31,1370.0
2000-08-31,766.0
2000-09-30,903.0
2000-10-31,1340.0
2000-11-30,1145.0
2000-12-31,1000.0
2001-01-31,950.0
2001-02-28,925.0
2001-03-31,1180.0
2001-04-30,1570.0
2001-05-31,4640.0
2001-06-30,4605.0
2001-07-31,1810.0
2001-08-31,1020.0
2001-09-30,858.0
2001-10-31,1180.0
2001-11-30,1190.0
2001-12-31,1010.0
2002-01-31,1030.0
2002-02-28,983.5
2002-03-31,1120.0
2002-04-30,3035.0
2002-05-31,3930.0
2002-06-30,8285.0
2002-07-31,2580.0
2002-08-31,1350.0
2002-09-30,1120.0
2002-10-31,1160.0
2002-11-30,1185.0
2002-12-31,1060.0
2003-01-31,1020.0
2003-02-28,1165.0
2003-03-31,2200.0
2003-04-30,4890.0
2003-05-31,5990.0
2003-06-30,5815.0
2003-07-31,1760.0
2003-08-31,1050.0
2003-09-30,1015.0
2003-10-31,1110.0
2003-11-30,1235.0
2003-12-31,1180.0
2004-01-31,1070.0
2004-02-29,1090.0
2004-03-31,2020.0
2004-04-30,3545.0
2004-05-31,4780.0
2004-06-30,4410.0
2004-07-31,1790.0
2004-08-31,1130.0
2004-09-30,1395.0
2004-10-31,1420.0
2004-11-30,1330.0
2004-12-31,1230.0
2005-01-31,1000.0
2005-02-28,1195.0
2005-03-31,1320.0
2005-04-30,2220.0
2005-05-31,6600.0
2005-06-30,6275.0
2005-07-31,2070.0
2005-08-31,1020.0
2005-09-30,1075.0
2005-10-31,1310.0
2005-11-30,1360.0
2005-12-31,1100.0
2006-01-31,1300.0
2006-02-28,1125.0
2006-03-31,1260.0
2006-04-30,5620.0
2006-05-31,7380.0
2006-06-30,5820.0
2006-07-31,1780.0
2006-08-31,932.0
2006-09-30,930.5
2006-10-31,1220.0
2006-11-30,1835.0
2006-12-31,1460.0
2007-01-31,1200.0
2007-02-28,1350.0
2007-03-31,2940.0
2007-04-30,3060.0
2007-05-31,7240.0
2007-06-30,5715.0
2007-07-31,1610.0
2007-08-31,962.0
2007-09-30,901.0
2007-10-31,1340.0
2007-11-30,1255.0
2007-12-31,1180.0
2008-01-31,1070.0
2008-02-29,1100.0
2008-03-31,1200.0
2008-04-30,2195.0
2008-05-31,6920.0
2008-06-30,10650.0
2008-07-31,3250.0
2008-08-31,1500.0
2008-09-30,1710.0
2008-10-31,1690.0
2008-11-30,2110.0
2008-12-31,1700.0
2009-01-31,1800.0
2009-02-28,1520.0
2009-03-31,1700.0
2009-04-30,5625.0
2009-05-31,7570.0
2009-06-30,7660.0
2009-07-31,3270.0
2009-08-31,2050.0
2009-09-30,1250.0
2009-10-31,1640.0
2009-11-30,1525.0
2009-12-31,1000.0
2010-01-31,1200.0
2010-02-28,1180.0
2010-03-31,1400.0
2010-04-30,1730.0
2010-05-31,3360.0
2010-06-30,8390.0
2010-07-31,2820.0
2010-08-31,1720.0
2010-09-30,1675.0
2010-10-31,1500.0
2010-11-30,1470.0
2010-12-31,1400.0
2011-01-31,2000.0
2011-02-28,1690.0
2011-03-31,2020.0
2011-04-30,4350.0
2011-05-31,15400.0
2011-06-30,18600.0
2011-07-31,8910.0
2011-08-31,2480.0
2011-09-30,1820.0
2011-10-31,2010.0
2011-11-30,1890.0
2011-12-31,1620.0
2012-01-31,1570.0
2012-02-29,1480.0
2012-03-31,2430.0
2012-04-30,6125.0
2012-05-31,8370.0
2012-06-30,7870.0
2012-07-31,2560.0
2012-08-31,1340.0
2012-09-30,1160.0
2012-10-31,1490.0
2012-11-30,1630.0
2012-12-31,1640.0
2013-01-31,1350.0
2013-02-28,1390.0
2013-03-31,1680.0
2013-04-30,2870.0
2013-05-31,7260.0
2013-06-30,5120.0
2013-07-31,1750.0
2013-08-31,993.0
2013-09-30,964.0
2013-10-31,1370.0
2013-11-30,1305.0
2013-12-31,1110.0
2014-01-31,1090.0
2014-02-28,1013.0
2014-03-31,2360.0
2014-04-30,4670.0
2014-05-31,12400.0
2014-06-30,8175.0
2014-07-31,3190.0
2014-08-31,1720.0
2014-09-30,1520.0
2014-10-31,1510.0
2014-11-30,1700.0
2014-12-31,1640.0
2015-01-31,1620.0
2015-02-28,2765.0
2015-03-31,4410.0
2015-04-30,4415.0
2015-05-31,5050.0
2015-06-30,3155.0
2015-07-31,1470.0
2015-08-31,922.0
2015-09-30,1035.0
2015-10-31,1130.0
2015-11-30,1395.0
2015-12-31,1210.0
2016-01-31,1200.0
2016-02-29,1580.0
2016-03-31,1890.0
2016-04-30,4430.0
2016-05-31,5890.0
2016-06-30,3725.0
2016-07-31,1620.0
2016-08-31,866.0
2016-09-30,912.0
2016-10-31,1430.0
2016-11-30,1550.0
2016-12-31,1230.0
2017-01-31,1160.0
2017-02-28,1660.0
2017-03-31,4710.0
2017-04-30,5345.0
2017-05-31,9860.0
2017-06-30,9255.0
2017-07-31,2300.0
2017-08-31,1180.0
2017-09-30,1220.0
2017-10-31,1520.0
2017-11-30,1535.0
2017-12-31,1520.0
2018-01-31,1510.0
2018-02-28,2040.0
2018-03-31,2380.0
2018-04-30,5800.0
2018-05-31,22800.0
2018-06-30,13050.0
2018-07-31,4020.0
2018-08-31,1920.0
2018-09-30,1680.0
2018-10-31,1970.0
2018-11-30,2095.0
2018-12-31,1640.0
2019-01-31,1500.0
2019-02-28,1255.0
2019-03-31,1410.0
2019-04-30,7555.0
2019-05-31,9750.0
2019-06-30,5565.0
2019-07-31,2750.0
2019-08-31,1420.0
2019-09-30,1755.0
2019-10-31,1910.0
2019-11-30,1815.0
2019-12-31,1590.0
2020-01-31,1440.0
2020-02-29,1440.0
2020-03-31,1640.0
2020-04-30,3025.0
2020-05-31,10800.0
2020-06-30,9830.0
2020-07-31,4410.0
2020-08-31,1640.0
2020-09-30,1510.0
2020-10-31,1950.0
2020-11-30,2240.0
2020-12-31,1700.0
2021-01-31,1570.0
2021-02-28,1385.0
2021-03-31,2140.0
2021-04-30,3960.0
2021-05-31,8390.0
2021-06-30,6695.0
2021-07-31,1940.0
2021-08-31,1420.0
2021-09-30,1210.0
2021-10-31,1360.0
2021-11-30,1470.0
2021-12-31,1510.0
2022-01-31,1220.0
2022-02-28,1370.0
2022-03-31,2210.0
2022-04-30,2650.0
2022-05-31,6060.0
2022-06-30,8745.0
2022-07-31,3200.0
2022-08-31,1280.0
2022-09-30,1110.0
2022-10-31,1470.0
2022-11-30,1415.0
2022-12-31,1300.0
2023-01-31,1220.0
2023-02-28,1125.0
2023-03-31,1210.0
2023-04-30,2670.0
2023-05-31,12200.0
2023-06-30,6595.0
2023-07-31,2250.0
2023-08-31,1290.0
2023-09-30,1385.0
2023-10-31,1540.0
2023-11-30,1580.0
2023-12-31,1375.0
