,pumping_rate,Q,67037,69402,151061,151101,151143,151161,151179,151188,151189,151190,151191,157208,157211,209148,209254,209255,Q_win,pumping_rate_win
1995-11-01,-0.9052699867657699,-0.3962754069609461,23.03,,31.84,10.83,24.19,36.17,22.29,8.84,28.28,66.59,34.62,,,39.03,,,,
1995-12-01,-0.8399701794063208,-0.10420596614057047,23.335378683669372,,32.11913183304996,10.889102436641453,24.189989274131207,35.10252639027545,21.645145786772222,8.817823383115872,27.76,65.96,34.53484970719729,,,38.52064193326989,,,,
1996-01-01,-0.9158722140126095,-0.3424302027873573,22.121695085535222,,32.77178019519643,10.194962133259049,24.47795914035401,35.93116479427805,23.41772487356659,8.008192888900371,28.43,66.82,35.16397668641813,,,38.89829969450053,,,,
1996-02-01,-0.8022401798435326,0.09812146772382381,21.23,57.8,33.63,12.23,24.47,35.07,23.83,9.05,27.97,67.11,35.24,,,38.451443809142326,,,,
1996-03-01,-0.6927425780557378,-0.17599957170535555,22.471924608483096,59.749876756109785,32.98468093366449,10.465310645822404,24.744096319957734,36.03675819918834,23.283393409730362,8.297132271241189,28.5,66.97,35.24,,,38.95,,,,
1996-04-01,-0.7868356185482301,1.7656911242513316,22.195628878505236,58.772786339919406,32.24176144905638,9.981699125564683,23.974048596773372,35.362923069324005,22.413317284463737,7.857990128368929,27.52,67.12,34.385201272511246,,,37.97796304310351,,,,
1996-05-01,-0.33321760776085446,3.1493497042271894,18.775,51.41,25.932759654115404,6.99,18.07010238699865,29.03,18.95,3.84,24.71,59.88,24.57,57.72,,26.77,,,,
1996-06-01,0.6392900840628041,3.410417360826408,18.333538176224337,49.69262130201718,23.78,5.6982791561058,15.74,27.247331522155513,16.530621772542247,3.6418686502366633,21.785,56.74,21.57507932493135,56.01792001150538,27.21,24.260568147703154,,,,
1996-07-01,1.9544058704736544,0.18949514753355026,19.426725321119854,51.6580376134645,23.929598536107672,6.921294941470565,16.182252911425913,28.9660029601431,17.843897102030162,4.84168451660873,23.37,58.2,24.42550294834723,58.03349597686483,27.427732569439087,27.481142533211006,,,,
1996-08-01,0.970726635574661,-0.4305405368895935,22.63,54.83,28.08,10.58,20.7,32.8,20.66,7.66,25.36,62.0,31.26,62.49,31.69,33.93,,,,
