fid,OBJECTID,PropType,TotAcres,YrBuilt
660,305899,IMP_U,2.9,1970
1826,304014,IMP_U,0.515,1970
2052,304630,IMP_U,0.55,1970
2071,304874,IMP_U,0.483,1970
2074,304893,IMP_U,0.528,1970
2086,304886,IMP_U,0.501,1970
2137,304914,IMP_U,0.503,1970
2151,305055,IMP_U,0.497,1970
2254,305666,IMP_R,1.8,1970
2577,303969,IMP_R,1.03,1970
3862,306649,IMP_U,0.25,1970
3931,306593,IMP_U,0.275,1970
4133,308201,APT_U,0.76,1970
4182,308251,IMP_U,0.23,1970
4186,308322,IMP_U,0.23,1970
4217,311204,IMP_R,1,1970
4230,311455,IMP_R,0.68,1970
4231,311547,IMP_R,9.24,1970
4312,316269,IMP_R,0.821,1970
4517,314724,FARM,166.266,1970
4617,326345,IMP_R,0.092,1970
4653,326389,IMP_R,0.184,1970
4709,326927,MOB,1.27,1970
4965,328329,IMP_R,7,1970
5210,306918,IMP_U,0.236,1970
5305,307268,IMP_U,0.135,1970
5320,307146,IMP_R,1,1970
5409,307612,IMP_U,0.23,1970
5538,307824,IMP_R,0.499,1970
5629,307800,IMP_U,0.501,1970
5633,307843,IMP_U,0.482,1970
5648,308383,IMP_U,0.716,1970
5649,308420,IMP_U,0.375,1970
5650,308428,IMP_U,0.368,1970
5805,309274,IMP_U,0.116,1970
6288,308644,IMP_U,0.219,1970
6343,309030,IMP_U,0.248,1970
6455,309070,IMP_U,0.248,1970
6464,309145,IMP_U,0.263,1970
6506,309008,IMP_U,0.536,1970
6602,309583,IMP_U,0.38,1970
6668,309590,EP,2.06,1970
6694,309673,IMP_U,0.059,1970
6695,309788,IMP_U,0.065,1970
6701,309641,IMP_U,0.159,1970
6704,309645,IMP_U,0.054,1970
6706,309639,IMP_U,0.073,1970
6707,309553,IMP_U,0.234,1970
6708,309637,EP,0.073,1970
6711,309727,IMP_U,0.08,1970
6712,309775,IMP_U,0.085,1970
6713,309632,EP,0.066,1970
6716,309610,EP,0.094,1970
6720,309635,IMP_U,0.233,1970
6721,309628,IMP_U,0.109,1970
6722,309701,IMP_U,0.088,1970
6723,309750,IMP_U,0.097,1970
6848,309605,IMP_U,0.116,1970
6849,309636,EP,0.054,1970
6850,309633,EP,0.053,1970
6851,309630,EP,0.056,1970
6852,309642,IMP_U,0.054,1970
6853,309649,IMP_U,0.066,1970
6854,309684,IMP_U,0.119,1970
6855,309731,EP,0.082,1970
6856,309774,IMP_U,0.085,1970
6857,309813,IMP_U,0.082,1970
6858,309804,EP,0.074,1970
6859,309828,IMP_U,0.113,1970
6884,309872,IMP_U,0.113,1970
6885,309876,IMP_U,0.096,1970
6886,309875,IMP_U,0.074,1970
6887,309911,IMP_U,0.07,1970
6888,309895,IMP_U,0.085,1970
6889,309896,IMP_U,0.085,1970
6898,309958,EP,0.11,1970
6899,309943,EP,0.082,1970
6900,309949,EP,0.08,1970
6907,309986,EP,0.112,1970
