year,population,WatUse_gal,WatUse_af
2000,57053,9128480,10229.6029
2001,58385.50014407969,9341680.02305275,10468.520175833488
2002,59677.637374349026,9548421.979895845,10700.20038122078
2003,60920.53943814692,9747286.310103508,10923.052721259743
2004,62105.334082812275,9936853.453249965,11135.48640104824
2005,63223.149055684,10115703.84890944,11335.91062568414
2006,64265.112104101005,10282417.93665616,11522.734600265308
2007,65222.3509754022,10435576.156064352,11694.367529889614
2008,66085.99341692649,10573758.946708238,11849.21861965492
2009,66847.1671760128,10695546.748162046,11985.697074659092
2010,67497,10799520,12102.212099999999
2011,68122,10899520,12214.274599999999
2012,68944,11031040,12361.659199999998
2013,69569,11131040,12473.721699999998
2014,70330,11252800,12610.169
2015,71420,11427200,12805.606
2016,72957,11673120,13081.1901
2017,74252,11880320,13313.3836
2018,75109,12017440,13467.043699999998
2019,75836,12133760,13597.394799999998
2020,74394,11903040,13338.8442
2021,75373,12059680,13514.3789
2022,76955,12312800,13798.0315
2023,78537,12565920,14081.684099999999
