gwicid,latitude,longitude,altitude,total_dept,swl,cf_input,rs_input,gc_input,br_input,outlet,ksat_r
151179,46.883223236,-114.091145293,3147.1,42.0,21.5,14994.356284740965,8728.142953583107,5684.9389181294255,6708.48600834391,18845.06252708229,9.0
151189,46.856421005556,-114.060540911111,3154.44,50.0,25.2,12750.855673359905,6719.950211356496,6916.775244623222,3514.3511661762523,22621.454227111823,24.77
157214,46.900124286,-113.966441413,3442.22,100.0,75.0,6238.677495209197,2806.719016438514,5411.761471761062,11330.83884222908,25160.79788585267,53.71
151101,46.855723269,-114.092545118,3119.8,25.0,14.0,15178.329221698497,9081.38836891299,8049.05202359462,3910.9736138271146,21166.03121808717,9.0
67037,46.833012,-114.051838,3145.4,38.0,27.0,12749.74342352135,7430.767059297804,9311.457125753133,1462.7972280776712,25049.692056095035,53.71
151191,46.8662,-113.988899,3189.48,53.0,36.4,7198.043353348327,1407.965834817199,6489.982025898062,7513.3708611170805,25833.19384045828,0.0
157208,46.8578,-114.0021,3204.1,113.0,0.0,8334.995274478202,2774.465096181133,6888.215770991325,6148.801328465412,25658.27689405514,0.0
69402,46.849023577,-114.00814308,3193.56,76.3,65.0,9022.840370077607,3814.0714172001944,7679.992782137269,5226.978636937072,25977.107600063748,0.0
151081,46.879324068,-113.976141827,3268.84,24.0,10.0,6230.9544397585105,383.0964091115971,5976.148748757562,9188.477607005909,25750.903870029364,51.53
151061,46.892423499,-114.039744021,3171.17,50.0,38.0,11246.530041522055,5113.6961766115965,2647.9861521172334,7764.593332496706,20988.020033744615,24.77
151204,47.0307,-114.2726,3034.0,25.0,13.5,33667.58850151808,28304.451327834253,22198.9880749966,27678.527656535607,2632.337297029523,53.71
151161,46.851223465,-114.040343848,3166.9,53.0,39.0,11337.858064125623,5548.666545845241,7202.779339444188,3549.7682261591467,24079.08130120755,0.0
150967,46.871436575,-113.981349669444,3222.81,45.0,25.6,6587.10282232269,596.8174705590495,6347.155270655531,8324.421651325038,25936.499513347346,0.0
151190,46.85793,-114.00252,3204.27,76.3,66.0,8363.490763326497,2786.1743833520377,6863.551305502077,6131.560531705761,25624.70593708819,0.0
151188,46.848523246,-114.102045286,3113.61,35.0,8.0,16012.89547339113,9999.011180940905,9117.992104360545,3717.6705101758153,21416.560898609954,280.0
151143,46.867923522,-114.03004367,3162.1,45.0,27.0,10309.88210962088,4133.278056681499,5336.762563145584,5534.81018639766,23323.204613963022,0.0
164350,46.882386305556,-113.919938972222,3253.82,67.1,48.5,2185.525027618713,4410.755658840621,9428.497445979598,12901.243982157217,29213.9533323481,53.71
136400,46.87773,-114.03727,3159.34,40.0,15.0,10859.465377266915,4590.808372970413,4248.775622546778,6274.247269820334,22183.881261230435,0.0
151203,46.8994,-114.1355,3099.14,24.0,13.0,18562.960762409617,12346.04649874164,7965.544951533951,9757.079608082491,15317.399280199319,0.38
156566,47.017671,-114.232233,3044.35,30.0,18.0,30297.018595561385,24997.81249152021,18865.1295363721,24808.891931846174,1967.323665345485,43.36
157207,46.958114,-114.188626,3075.58,50.0,27.0,24287.577911143137,18513.39929908999,12689.362524995347,17431.709768509394,7696.41819168473,0.38
157209,46.897294,-114.159254,3085.57,30.0,18.0,20318.93204159495,14078.687191257872,9781.510528521016,10654.450670658243,14514.693960070183,24.77
157211,46.892991,-114.039282,3174.72,100.0,35.0,11224.402221458511,5103.9020380980855,2579.8823062730025,7834.813760701785,20976.315771973434,24.77
209148,46.8639,-113.9706,3204.66,57.78,38.0,5850.337705085597,1425.0133148451873,7513.958247842691,8531.236812822104,27093.724822771375,24.77
209157,46.8646,-113.954,3213.59,53.77,35.7,4592.4357260402985,2162.1977999880037,8325.648110884988,9679.564485407478,28070.179591731492,24.77
209254,46.8606,-114.1,3115.26,26.0,11.8,15685.482599230358,9520.706171984295,7952.888481906929,4668.288732509775,20394.656150451807,9.0
209255,46.8861,-114.0268,3185.33,58.0,0.0,10155.627851361447,3953.2759607383523,3351.4267470695154,7441.5947125142475,22196.93641699431,53.71
