gwicid	date	daily_average	method	agency
157208	5/31/1996	57.72	DAILY AVERAGE	MBMG
157208	8/12/1996	62.49	DAILY AVERAGE	MBMG
157208	9/6/1996	64.19	DAILY AVERAGE	MBMG
157208	11/20/1996	66.93	DAILY AVERAGE	MBMG
157208	3/17/1997	67.22	DAILY AVERAGE	MBMG
157208	3/27/1997	67.07	DAILY AVERAGE	MBMG
157208	5/22/1997	56.5	DAILY AVERAGE	MBMG
157208	8/21/1997	60.66	DAILY AVERAGE	MBMG
157208	11/19/1997	64.85	DAILY AVERAGE	MBMG
157208	3/11/1998	67.74	DAILY AVERAGE	MBMG
157208	6/1/1998	60.92	DAILY AVERAGE	MBMG
157208	8/20/1998	59.78	DAILY AVERAGE	MBMG
157208	11/6/1998	65.15	DAILY AVERAGE	MBMG
157208	2/17/1999	67.5	DAILY AVERAGE	MBMG
157208	6/21/1999	59.45	DAILY AVERAGE	MBMG
157208	9/14/1999	64.15	DAILY AVERAGE	MBMG
157208	11/4/1999	65.55	DAILY AVERAGE	MBMG
157208	3/6/2000	68.84	DAILY AVERAGE	MBMG
157208	6/21/2000	63.1	DAILY AVERAGE	MBMG
157208	8/11/2000	67.18	DAILY AVERAGE	MBMG
157208	8/16/2000	66.6	DAILY AVERAGE	MBMG
157208	11/29/2000	67	DAILY AVERAGE	MBMG
157208	4/3/2001	69	DAILY AVERAGE	MBMG
157208	6/21/2001	62.37	DAILY AVERAGE	MBMG
157208	8/29/2001	65.64	DAILY AVERAGE	MBMG
157208	11/2/2001	66.79	DAILY AVERAGE	MBMG
157208	3/26/2002	70	DAILY AVERAGE	MBMG
157208	6/11/2002	62.29	DAILY AVERAGE	MBMG
157208	10/9/2002	66.17	DAILY AVERAGE	MBMG
157208	4/15/2003	68.89	DAILY AVERAGE	MBMG
157208	7/8/2003	62.35	DAILY AVERAGE	MBMG
157208	10/1/2003	66.02	DAILY AVERAGE	MBMG
157208	3/30/2004	69.04	DAILY AVERAGE	MBMG
157208	7/22/2004	64.16	DAILY AVERAGE	MBMG
157208	12/3/2004	66.52	DAILY AVERAGE	MBMG
157208	5/17/2005	64.1	DAILY AVERAGE	MBMG
157208	8/17/2005	65.53	DAILY AVERAGE	MBMG
157208	11/17/2005	66.99	DAILY AVERAGE	MBMG
157208	3/22/2006	68.65	DAILY AVERAGE	MBMG
157208	5/26/2006	60.61	DAILY AVERAGE	MBMG
157208	7/13/2006	62.15	DAILY AVERAGE	MBMG
157208	11/21/2006	67.7	DAILY AVERAGE	MBMG
157208	4/5/2007	69.35	DAILY AVERAGE	MBMG
157208	6/12/2007	61.95	DAILY AVERAGE	MBMG
157208	7/3/2007	63.27	DAILY AVERAGE	MBMG
157208	9/28/2007	68.61	DAILY AVERAGE	MBMG
157208	4/2/2008	72.05	DAILY AVERAGE	MBMG
157208	6/13/2008	61.34	DAILY AVERAGE	MBMG
157208	6/26/2008	60	DAILY AVERAGE	MBMG
157208	9/26/2008	64.9	DAILY AVERAGE	MBMG
157208	11/14/2008	67.75	DAILY AVERAGE	MBMG
157208	4/8/2009	69.22	DAILY AVERAGE	MBMG
157208	6/2/2009	60.2	DAILY AVERAGE	MBMG
157208	6/30/2009	59.58	DAILY AVERAGE	MBMG
157208	10/23/2009	66.6	DAILY AVERAGE	MBMG
157208	3/25/2010	70.25	DAILY AVERAGE	MBMG
157208	6/25/2010	61.83	DAILY AVERAGE	MBMG
157208	7/27/2010	63.69	DAILY AVERAGE	MBMG
157208	10/15/2010	66.49	DAILY AVERAGE	MBMG
157208	3/28/2011	70.54	DAILY AVERAGE	MBMG
157208	6/14/2011	54.49	DAILY AVERAGE	MBMG
157208	6/30/2011	54.12	DAILY AVERAGE	MBMG
157208	11/9/2011	63.6	DAILY AVERAGE	MBMG
157208	4/16/2012	64.82	DAILY AVERAGE	MBMG
157208	5/31/2012	58.31	DAILY AVERAGE	MBMG
157208	7/2/2012	58.25	DAILY AVERAGE	MBMG
157208	10/30/2012	65.1	DAILY AVERAGE	MBMG
157208	3/25/2013	68.29	DAILY AVERAGE	MBMG
157208	5/22/2013	62.25	DAILY AVERAGE	MBMG
157208	7/2/2013	60.26	DAILY AVERAGE	MBMG
157208	10/25/2013	65.22	DAILY AVERAGE	MBMG
157208	4/8/2014	66.42	DAILY AVERAGE	MBMG
157208	6/4/2014	56.97	DAILY AVERAGE	MBMG
157208	10/31/2014	63.78	DAILY AVERAGE	MBMG
157208	3/23/2015	64.6	DAILY AVERAGE	MBMG
157208	6/3/2015	60.7	DAILY AVERAGE	MBMG
157208	2/9/2016	68.23	DAILY AVERAGE	MBMG
157208	4/5/2016	68.2	DAILY AVERAGE	MBMG
157208	5/26/2016	61.4	DAILY AVERAGE	MBMG
157208	9/23/2016	66.13	DAILY AVERAGE	MBMG
157208	12/2/2016	66.13	DAILY AVERAGE	MBMG
157208	3/28/2017	63.6	DAILY AVERAGE	MBMG
157208	5/31/2017	57.27	DAILY AVERAGE	MBMG
157208	9/26/2017	64.19	DAILY AVERAGE	MBMG
157208	12/5/2017	65.42	DAILY AVERAGE	MBMG
157208	4/9/2018	66.89	DAILY AVERAGE	MBMG
157208	5/24/2018	53.05	DAILY AVERAGE	MBMG
157208	8/28/2018	61.52	DAILY AVERAGE	MBMG
157208	12/5/2018	64.08	DAILY AVERAGE	MBMG
157208	4/8/2019	64.82	DAILY AVERAGE	MBMG
157208	5/23/2019	56.85	DAILY AVERAGE	MBMG
157208	9/25/2019	62.73	DAILY AVERAGE	MBMG
157208	1/10/2020	67.26	DAILY AVERAGE	MBMG
157208	2/4/2020	68.2	DAILY AVERAGE	MBMG
157208	3/19/2020	69.05	DAILY AVERAGE	MBMG
157208	4/30/2020	66.76	DAILY AVERAGE	MBMG
157208	5/27/2020	59.27	DAILY AVERAGE	MBMG
157208	6/29/2020	57.77	DAILY AVERAGE	MBMG
157208	7/31/2020	59.75	DAILY AVERAGE	MBMG
157208	8/31/2020	63.23	DAILY AVERAGE	MBMG
157208	9/29/2020	64.55	DAILY AVERAGE	MBMG
157208	10/31/2020	64.64	DAILY AVERAGE	MBMG
157208	11/23/2020	64.28	DAILY AVERAGE	MBMG
157208	12/8/2020	64.89	DAILY AVERAGE	MBMG
157208	1/13/2021	67.06	DAILY AVERAGE	MBMG
157208	2/23/2021	68.33	DAILY AVERAGE	MBMG
157208	3/17/2021	68.63	DAILY AVERAGE	MBMG
157208	5/4/2021	65.35	DAILY AVERAGE	MBMG
157208	6/30/2021	59.74	DAILY AVERAGE	MBMG
157208	9/29/2021	65.96	DAILY AVERAGE	MBMG
157208	11/3/2021	66.66	DAILY AVERAGE	MBMG
157208	12/2/2021	67.33	DAILY AVERAGE	MBMG
157208	1/14/2022	65.61	DAILY AVERAGE	MBMG
157208	2/18/2022	66.59	DAILY AVERAGE	MBMG
157208	3/24/2022	67.01	DAILY AVERAGE	MBMG
157208	4/4/2022	66.16	DAILY AVERAGE	MBMG
157208	5/9/2022	64.71	DAILY AVERAGE	MBMG
157208	6/7/2022	60.73	DAILY AVERAGE	MBMG
157208	7/7/2022	59	DAILY AVERAGE	MBMG
157208	8/10/2022	62.77	DAILY AVERAGE	MBMG
157208	9/15/2022	65.29	DAILY AVERAGE	MBMG
157208	11/15/2022	66.44	DAILY AVERAGE	MBMG
157208	1/13/2023	67.77	DAILY AVERAGE	MBMG
157208	2/8/2023	68.33	DAILY AVERAGE	MBMG
157208	4/3/2023	68.89	DAILY AVERAGE	MBMG
End of Report. 125 records retrieved from GWIC at 12/7/2023 7:32:14 AM
These data represent the contents of the GWIC databases at the Montana Bureau of Mines and Geology at the time and date of the retrieval. The information is considered unpublished and is subject to correction and review on a daily basis. The Bureau warrants the accurate transmission of the data to the original end user. Retransmission of the data to other users is discouraged and the Bureau claims no responsibility if the material is retransmitted.
